ath1_probe	FC_27_28_35_36_GSE576	Pvalue_27_28_35_36_down	Pvalue_27_28_35_36_up	FC_29_30_37_38_GSE576	Pvalue_29_30_37_38_down	Pvalue_29_30_37_38_up	FC_31_32_39_40_GSE576	Pvalue_31_32_39_40_down	Pvalue_31_32_39_40_up	FC_33_34_41_42_GSE576	Pvalue_33_34_41_42_down	Pvalue_33_34_41_42_up	ID	Annotation
247543_at	0.1717	0.8134	0.1363	-0.0194	0.3797	0.431	-0.0659	0.3507	0.7498	-0.807	0.0002	1.0	AT5G61600	ethylene-responsive element-binding family protein
247544_at	0.0198	0.4869	0.5115	-0.1335	0.2278	0.876	0.0112	0.5684	0.5725	-0.111	0.2198	0.8847	AT5G61670	heat shock protein binding / unfolded protein binding
247545_at	0.2232	0.9533	0.1128	0.008	0.6026	0.5108	-0.2864	0.0275	0.9672	0.0128	0.5686	0.587	AT5G61530	small G protein family protein / RhoGAP family protein
247546_at	-0.0132	0.5234	0.6408	-0.1677	0.15	0.8902	0.0464	0.5736	0.3796	0.1994	0.8061	0.1123	AT5G61605	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G16505.1)
247547_at	0.1781	0.905	0.1544	0.0876	0.7128	0.2638	0.2466	0.9279	0.0786	0.2076	0.933	0.1154	AT5G61360	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G07730.1)
247548_at	0.0647	0.6613	0.39	0.1565	0.8268	0.1396	0.0619	0.7362	0.4413	0.3117	0.9872	0.0346	AT5G61400	pentatricopeptide (PPR) repeat-containing protein
247549_at	-0.0091	0.2259	0.3794	-0.4352	0.0071	0.9887	-0.6345	0.0026	0.9651	-0.6069	0.0011	0.9997	AT5G61420	MYB28 (MYB DOMAIN PROTEIN 28); DNA binding / transcription factor
247550_at	-0.2455	0.0669	0.9742	-0.1445	0.2085	0.8885	-0.0472	0.373	0.6758	-0.1606	0.1284	0.9364	AT5G61370	pentatricopeptide (PPR) repeat-containing protein
247551_at	-0.0163	0.4933	0.6722	-0.1068	0.257	0.7641	-0.0872	0.2912	0.7922	-0.0475	0.3794	0.7369	AT5G60980	nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein
247552_at	-0.0294	0.4421	0.6886	-0.0611	0.4302	0.7521	-0.1223	0.2267	0.89	-0.0541	0.3542	0.7445	AT5G60920	COB (COBRA)
247553_at	-0.0412	0.297	0.434	0.6717	0.9997	0.001	0.9382	1.0	0.0	0.7049	0.9998	0.0006	AT5G60910	AGL8 (AGAMOUS-LIKE 8); transcription factor
247554_at	0.1602	0.7636	0.1986	-0.069	0.4075	0.739	-0.0834	0.302	0.7847	-0.1492	0.139	0.8838	AT5G61010	ATEXO70E2 (EXOCYST SUBUNIT EXO70 FAMILY PROTEIN E2); protein binding
247555_at	-0.0763	0.3211	0.7953	0.0024	0.635	0.5728	0.0439	0.7044	0.4931	0.0888	0.8029	0.3772	AT5G61020	ECT3 (evolutionary conserved C-terminal 3)
247556_at	0.3331	0.9461	0.0364	0.401	0.9955	0.0124	0.1624	0.9143	0.1901	0.2062	0.9321	0.111	AT5G61040	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G08010.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO41860.1)
247557_at	0.0083	0.4732	0.4979	0.172	0.9306	0.1508	0.133	0.8662	0.2441	0.2813	0.9627	0.0511	AT5G61050	histone deacetylase-related / HD-related
247558_at	0.038	0.5882	0.3885	0.0481	0.6479	0.3378	-0.0779	0.2758	0.74	-0.0294	0.4446	0.7254	AT5G61060	HDA05 (HISTONE DEACETYLASE5); histone deacetylase
247559_at	0.0455	0.5711	0.3911	-0.2978	0.0353	0.974	-0.1024	0.2608	0.8428	0.0318	0.521	0.4586	AT5G61070	HDA18 (histone deacetylase 18); histone deacetylase
247560_at	-0.0493	0.3975	0.6685	-0.1876	0.1212	0.8671	-0.1711	0.1159	0.9008	0.0153	0.4731	0.4583	AT5G61090	proline-rich family protein
247561_at	-0.0462	0.3923	0.6201	0.0721	0.7461	0.3409	0.0679	0.6243	0.3182	-0.0104	0.481	0.6334	AT5G61110	protein binding / zinc ion binding
247562_at	0.6556	0.9992	0.002	0.0259	0.656	0.4455	-0.2068	0.0791	0.928	0.2813	0.9529	0.0528	AT5G61120	zinc ion binding
247563_at	0.1576	0.8919	0.2214	0.0138	0.6221	0.4955	0.0282	0.6448	0.5221	0.086	0.765	0.3721	AT5G61130	glycosyl hydrolase family protein 17
247564_at	0.1845	0.9023	0.1755	0.0151	0.597	0.4499	0.1348	0.8664	0.2344	0.1216	0.7431	0.2407	AT5G61140	DEAD box RNA helicase, putative
247565_at	0.0923	0.798	0.3608	0.0034	0.6402	0.5714	-0.0132	0.5245	0.6407	0.0165	0.5506	0.5694	AT5G61150	VIP4 (VERNALIZATION INDEPENDENCE 4)
247566_at	-0.0249	0.4857	0.6374	0.1406	0.9061	0.2048	0.1282	0.8683	0.2584	0.0305	0.6468	0.5611	AT5G61170	40S ribosomal protein S19 (RPS19C)
247567_at	0.1086	0.6178	0.2484	0.0216	0.6358	0.4292	-0.2401	0.0578	0.9775	-0.0357	0.3817	0.674	AT5G61190	zinc finger protein-related
247568_at	-0.1217	0.2308	0.8184	0.0829	0.637	0.2667	-0.1799	0.1078	0.9187	-0.0812	0.2796	0.7748	AT5G61260	chromosome scaffold protein-related
247569_at	0.1005	0.7745	0.3475	0.0136	0.6415	0.5343	-0.0683	0.357	0.7934	-0.0778	0.2976	0.8313	AT5G61240	protein binding
247570_at	0.6176	0.9993	0.0025	-0.0666	0.3963	0.7223	0.0117	0.5821	0.5548	0.0646	0.7164	0.4327	AT5G61250	ATGUS1 (ARABIDOPSIS THALIANA GLUCURONIDASE 1); beta-glucuronidase
247571_at	0.169	0.8907	0.1966	-0.1319	0.2168	0.8447	-0.1082	0.2267	0.798	-0.0173	0.4932	0.7081	AT5G61210	SNAP33 (synaptosomal-associated protein 33); SNAP receptor
247572_at	-0.0664	0.3768	0.7812	0.0195	0.6776	0.5246	0.067	0.7374	0.4211	0.0951	0.809	0.3533	AT5G61220	complex 1 family protein / LVR family protein
247573_at	-0.0425	0.4155	0.6569	0.043	0.6342	0.3362	0.1284	0.8551	0.2605	-0.0127	0.4834	0.6526	AT5G61160	AACT1 (ANTHOCYANIN 5-AROMATIC ACYLTRANSFERASE 1); transferase
247574_at	0.0254	0.6368	0.5675	-0.037	0.4788	0.6278	-0.122	0.2127	0.8521	0.1669	0.9035	0.1739	AT5G61230;AT5G61228	[AT5G61230, ankyrin repeat family protein];[AT5G61228, CPuORF15 (Conserved peptide upstream open reading frame 15)]
247575_at	-0.0814	0.2777	0.7682	-0.0543	0.3375	0.5489	0.0293	0.6432	0.5146	-0.0423	0.3961	0.7503	AT5G61030	GR-RBP3 (glycine-rich RNA-binding protein 3); RNA binding
247576_at	-0.3347	0.0215	0.9889	-0.1304	0.2222	0.8504	-0.011	0.4808	0.6011	0.048	0.6436	0.4729	AT5G61280	remorin family protein
247577_at	0.0037	0.2514	0.2067	0.2681	0.9559	0.0571	0.1394	0.715	0.1977	0.1758	0.8905	0.1587	AT5G61290	flavin-containing monooxygenase family protein / FMO family protein
247578_at	0.0826	0.751	0.3925	0.1383	0.8729	0.1752	-0.1895	0.1072	0.9511	0.1968	0.9236	0.125	AT5G61300	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G07790.1); similar to hypothetical protein OsI_037595 [Oryza sativa (indica cultivar-group)] (GB:EAY83636.1); similar to Os12g0577800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067117.1)
247579_at	-0.0424	0.4543	0.736	0.0587	0.6818	0.3527	0.2239	0.9536	0.0951	0.1725	0.9031	0.1627	AT5G61320	CYP89A3 (cytochrome P450, family 87, subfamily A, polypeptide 3); oxygen binding
247580_at	-0.2345	0.0738	0.9422	-0.1093	0.2624	0.8085	0.2429	0.9579	0.0812	-0.1096	0.2194	0.8829	AT5G61330	rRNA processing protein-related
247581_at	-0.1066	0.2782	0.8406	0.0016	0.5408	0.5103	-0.0595	0.3855	0.761	-0.1151	0.2042	0.8624	AT5G61350	protein kinase family protein
247582_at	-0.145	0.1834	0.8888	-0.257	0.0546	0.8649	-0.3588	0.0135	0.911	-0.1943	0.0831	0.9481	AT5G60760	2-phosphoglycerate kinase-related
247583_at	-0.0757	0.3598	0.8051	0.1188	0.8714	0.251	0.0078	0.5897	0.5876	-0.0384	0.4198	0.7612	AT5G60750	CAAX amino terminal protease family protein
247584_at	0.0914	0.7478	0.3711	0.1095	0.8663	0.2586	0.131	0.8271	0.2212	0.1923	0.9359	0.1336	AT5G60670	60S ribosomal protein L12 (RPL12C)
247585_at	0.1378	0.7886	0.1759	0.0215	0.6439	0.4546	0.1493	0.8376	0.1816	0.3764	0.95	0.021	AT5G60680	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G45210.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21845.1); contains InterPro domain Protein of unknown function DUF584 (InterPro:IPR007608)
247586_at	0.0675	0.7311	0.419	-0.1234	0.2065	0.7862	0.1031	0.8062	0.3035	-0.2665	0.03	0.8879	AT5G60660	PIP2;4/PIP2F (plasma membrane intrinsic protein 2;4); water channel
247587_at	0.1354	0.8491	0.2705	-0.1059	0.3028	0.8377	-0.1134	0.2376	0.8663	-0.0188	0.4884	0.7136	AT5G60620	phospholipid/glycerol acyltransferase family protein
247588_at	0.0489	0.6088	0.4594	-0.0809	0.3692	0.7762	-0.0738	0.3557	0.8153	0.0216	0.62	0.592	AT5G60640	ATPDIL1-4 (PDI-LIKE 1-4); thiol-disulfide exchange intermediate
247589_at	0.094	0.757	0.3619	-0.061	0.4183	0.7126	0.1259	0.8661	0.2609	0.0459	0.6543	0.4833	AT5G60690	REV (REVOLUTA); DNA binding / lipid binding / transcription factor
247590_at	0.0281	0.5572	0.5164	-0.0266	0.3998	0.5581	0.0797	0.6679	0.3039	0.2508	0.9591	0.0703	AT5G60720	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G39690.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21880.1); contains InterPro domain Protein of unknown function DUF547 (InterPro:IPR006869)
247591_at	0.0993	0.6525	0.2081	0.4128	0.9954	0.0127	0.4934	0.9985	0.0041	-0.0569	0.3471	0.7753	AT5G60770	ATNRT2.4 (Arabidopsis thaliana high affinity nitrate transporter 2.4); nitrate transmembrane transporter
247592_at	0.1956	0.8847	0.1474	-0.142	0.0911	0.3781	-0.8628	0.0001	0.9997	-0.5569	0.003	0.9945	AT5G60780	ATNRT2.3 (Arabidopsis thaliana high affinity nitrate transporter 2.3); nitrate transmembrane transporter
247593_at	-0.0852	0.2924	0.8031	-0.0186	0.5625	0.5995	0.1225	0.8224	0.2688	-0.0243	0.4369	0.6783	AT5G60790	ATGCN1 (Arabidopsis thaliana general control non-repressible 1)
247594_at	0.2805	0.7568	0.0603	0.0463	0.5188	0.3608	0.1103	0.7839	0.2622	0.1601	0.8896	0.1903	AT5G60800	heavy-metal-associated domain-containing protein
247595_at	0.2034	0.8913	0.1108	0.0777	0.8192	0.3453	0.0656	0.7419	0.4293	0.2345	0.9518	0.0841	AT5G60820	zinc finger (C3HC4-type RING finger) family protein
247596_at	0.1557	0.86	0.2267	0.1203	0.8136	0.1911	0.0227	0.6044	0.5174	0.1215	0.8318	0.2643	AT5G60840	unknown protein
247597_at	0.1652	0.8708	0.2067	0.0649	0.7687	0.3885	0.0453	0.6523	0.4504	-0.1245	0.1896	0.8496	AT5G60860	AtRABA1f (Arabidopsis Rab GTPase homolog A1f); GTP binding
247598_at	-0.1064	0.2817	0.8622	-0.001	0.6292	0.5741	-0.2084	0.083	0.9595	0.0125	0.5902	0.6209	AT5G60870	regulator of chromosome condensation (RCC1) family protein
247599_at	-0.0988	0.2732	0.8072	0.2001	0.8702	0.1254	0.0622	0.6613	0.3885	-0.0138	0.5029	0.6955	AT5G60880	unknown protein
247600_at	0.297	0.9744	0.0521	0.169	0.9181	0.1361	0.1663	0.8857	0.1837	0.2344	0.9454	0.0834	AT5G60890	ATMYB34/ATR1/MYB34 (ALTERED TRYPTOPHAN REGULATION, MYB DOMAIN PROTEIN 34); DNA binding / kinase/ transcription activator/ transcription factor
247601_at	0.1821	0.5566	0.1355	-0.2338	0.0771	0.9691	-0.1465	0.1736	0.9073	-0.1139	0.2121	0.8478	AT5G60850	OBP4 (OBF BINDING PROTEIN 4); DNA binding / transcription factor
247602_at	0.1099	0.8265	0.3289	-0.0666	0.4182	0.7554	-0.0986	0.2489	0.8087	0.0137	0.5384	0.567	AT5G60900	RLK1 (RECEPTOR-LIKE PROTEIN KINASE 1); carbohydrate binding / kinase
247603_at	-0.1462	0.1935	0.8837	0.0877	0.8241	0.3228	-0.0436	0.4405	0.7346	0.0035	0.5128	0.5972	AT5G60930	chromosome-associated kinesin, putative
247604_at	0.3783	0.958	0.0318	-0.0931	0.3398	0.8201	-0.0099	0.5316	0.6324	-0.1448	0.1558	0.9183	AT5G60950	COBL5 (COBRA-LIKE PROTEIN 5 PRECURSOR)
247605_at	0.0063	0.3951	0.4755	0.0013	0.5606	0.4845	-0.2534	0.0465	0.9788	-0.5726	0.0016	0.9995	AT5G60970	TCP5 (TEOSINTE BRANCHED1, CYCLOIDEA AND PCF TRANSCRIPTION FACTOR 5); transcription factor
247606_at	-0.0922	0.2721	0.6972	0.0737	0.6493	0.3209	0.3009	0.9824	0.0402	0.1853	0.9372	0.146	AT5G61000	replication protein, putative
247607_at	-0.3071	0.0309	0.9896	-0.1456	0.1944	0.8407	-0.087	0.2861	0.7841	-0.0779	0.3034	0.8441	AT5G60960	pentatricopeptide (PPR) repeat-containing protein
247608_at	-0.1243	0.2382	0.8818	0.0332	0.7216	0.4811	0.0914	0.8087	0.3595	-0.0971	0.2256	0.803	AT5G60990	DEAD/DEAH box helicase, putative (RH10)
247609_at	0.1102	0.8074	0.3265	0.2462	0.9712	0.0594	-0.0654	0.3524	0.749	0.1437	0.8883	0.2258	AT5G60940	transducin family protein / WD-40 repeat family protein
247610_at	0.2249	0.9125	0.1129	-0.307	0.0309	0.9793	-0.4626	0.0028	0.9962	0.233	0.9625	0.0853	AT5G60630	unknown protein
247611_at	0.1316	0.854	0.2418	-0.0533	0.4598	0.7084	-0.0083	0.5186	0.6317	0.0792	0.7559	0.3841	AT5G60710	zinc finger (C3HC4-type RING finger) family protein
247612_at	-0.2491	0.0563	0.9097	0.0222	0.6877	0.4952	0.0848	0.7855	0.3607	-0.0985	0.2471	0.8492	AT5G60730	anion-transporting ATPase family protein
247613_at	-0.1251	0.131	0.5217	-0.1448	0.1246	0.6751	0.2491	0.9452	0.0781	-0.2349	0.0516	0.947	AT5G60740	ABC transporter family protein
247614_at	-0.2348	0.0759	0.9588	0.0226	0.5638	0.4055	-0.0357	0.3466	0.5543	-0.1774	0.1117	0.9378	AT5G60240	unknown protein
247615_at	0.5466	0.9946	0.0063	0.0003	0.5611	0.5496	-0.082	0.3298	0.8297	0.4438	0.9961	0.0086	AT5G60250	zinc finger (C3HC4-type RING finger) family protein
247616_at	-0.2326	0.0746	0.936	0.1201	0.7491	0.2313	0.6255	0.9979	0.0012	0.3344	0.9911	0.0261	AT5G60260	unknown protein
247617_at	-0.15	0.1633	0.7971	-0.0704	0.3775	0.754	-0.1545	0.1448	0.8913	0.1518	0.8456	0.1955	AT5G60270	lectin protein kinase family protein
247618_at	-0.0293	0.4671	0.706	-0.3844	0.0126	0.9921	-0.1618	0.1466	0.9246	-0.1056	0.2372	0.8858	AT5G60280	lectin protein kinase family protein
247619_at	0.0895	0.7979	0.3624	-0.084	0.3319	0.7344	0.1094	0.8238	0.3017	0.2273	0.9548	0.091	AT5G60290	unknown protein
247620_at	0.1351	0.6918	0.1528	0.0477	0.7131	0.4295	0.2542	0.9611	0.0758	0.1983	0.9297	0.1234	AT5G60310	lectin protein kinase, putative
247621_at	-0.2915	0.032	0.9376	0.0547	0.7373	0.3642	-0.0671	0.3695	0.8007	-0.1353	0.1327	0.7997	AT5G60340	maoC-like dehydratase domain-containing protein
247622_at	-0.0748	0.3098	0.7279	-0.0173	0.4836	0.5814	-0.2013	0.0919	0.949	0.0178	0.5779	0.5622	AT5G60350	unknown protein
247623_at	-0.0575	0.2442	0.4277	0.1316	0.8569	0.2296	0.0342	0.6812	0.5289	0.0034	0.3479	0.4421	AT5G60320	lectin protein kinase family protein
247624_at	0.0632	0.746	0.45	0.1052	0.8335	0.2578	0.1183	0.8129	0.2517	0.0845	0.7717	0.3825	AT5G60160	aspartyl aminopeptidase, putative
247625_at	0.0321	0.4937	0.4633	-0.0964	0.2736	0.7192	-0.0819	0.3246	0.8261	0.0671	0.7176	0.416	AT5G60200	Dof-type zinc finger domain-containing protein
247626_at	0.1924	0.8917	0.1631	-0.0683	0.3435	0.6651	-0.0551	0.404	0.7587	-0.0056	0.4959	0.6389	AT5G60300	lectin protein kinase family protein
247627_at	0.1999	0.9109	0.1495	-0.2688	0.0501	0.9804	-0.2531	0.0466	0.9784	-0.0573	0.3456	0.7578	AT5G60360	AALP (ARABIDOPSIS ALEURAIN-LIKE PROTEASE); cysteine-type peptidase
247628_at	0.2897	0.7961	0.0379	0.4436	0.9977	0.0075	0.5756	0.9989	0.0017	0.7911	0.9997	0.0004	AT5G60400	unknown protein
247629_at	0.0427	0.3775	0.3485	0.3262	0.9594	0.0222	0.2455	0.9669	0.0785	-0.036	0.326	0.5914	AT5G60410	ATSIZ1/SIZ1; DNA binding / SUMO ligase
247630_at	0.0252	0.5398	0.5202	0.1158	0.8751	0.2393	-0.0222	0.4792	0.6497	-0.0066	0.4837	0.6271	AT5G60410	ATSIZ1/SIZ1; DNA binding / SUMO ligase
247631_at	0.2744	0.9744	0.0596	0.127	0.7214	0.2214	0.1264	0.8716	0.2642	0.2661	0.9494	0.0587	AT5G60440	MADS-box protein (AGL62)
247632_at	0.0988	0.7723	0.2855	-0.1249	0.2454	0.8447	-0.2889	0.0284	0.9861	-0.0204	0.432	0.6475	AT5G60460	sec61beta family protein
247633_at	-0.0595	0.2357	0.5941	-0.2121	0.099	0.9579	0.3093	0.9213	0.0383	-0.108	0.2066	0.7678	AT5G60470	zinc finger (C2H2 type) family protein
247634_at	-0.0157	0.475	0.557	-0.1555	0.1682	0.8713	0.2319	0.962	0.0943	0.0955	0.7999	0.3448	AT5G60520	late embryogenesis abundant protein-related / LEA protein-related
247635_at	0.1087	0.7218	0.3121	-0.0356	0.4872	0.6145	0.0213	0.5899	0.5067	0.0476	0.6954	0.5049	AT5G60550;AT5G60548	[AT5G60550, GRIK2 (GEMINIVIRUS REP INTERACTING KINASE 2); kinase];[AT5G60548, CPuORF62 (Conserved peptide upstream open reading frame 62)]
247636_at	-0.0229	0.4312	0.6558	-0.2921	0.0375	0.9842	-0.1809	0.1194	0.9442	-0.1429	0.1603	0.8918	AT5G60570	kelch repeat-containing F-box family protein
247637_at	-0.2796	0.0428	0.9795	0.2358	0.9392	0.0872	-0.0124	0.4549	0.5833	-0.2146	0.0706	0.9625	AT5G60600	GcpE (CHLOROPLAST BIOGENESIS 4); 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
247638_at	-0.0394	0.4154	0.7127	0.052	0.4119	0.2944	0.1107	0.6801	0.2528	-0.294	0.0276	0.9871	AT5G60490	FLA12 (fasciclin-like arabinogalactan-protein 12)
247639_s_at	-0.2233	0.068	0.9242	-0.0763	0.2957	0.6442	-0.0712	0.3383	0.765	-0.1087	0.2204	0.882	AT5G60500;AT5G60510	[AT5G60500, undecaprenyl pyrophosphate synthetase family protein / UPP synthetase family protein];[AT5G60510, undecaprenyl pyrophosphate synthetase family protein / UPP synthetase family protein]
247640_at	-0.1267	0.2355	0.8769	0.2073	0.4586	0.0642	0.1667	0.7905	0.1518	-0.1993	0.0685	0.8755	AT5G60610	F-box family protein
247641_at	0.0066	0.5584	0.5357	0.1497	0.8956	0.1829	-0.0689	0.3556	0.796	-0.0941	0.2404	0.7685	AT5G60540	ATPDX2/EMB2407/PDX2 (PYRIDOXINE BIOSYNTHESIS 2); glutaminase/ glutaminyl-tRNA synthase (glutamine-hydrolyzing)/ protein heterodimerization
247642_at	-0.2985	0.0314	0.9704	-0.2212	0.0827	0.9293	-0.0424	0.432	0.7313	-0.2971	0.0289	0.9249	AT5G60590	yrdC protein-related
247643_at	0.1232	0.8293	0.289	-0.0297	0.4287	0.4969	0.0204	0.6067	0.5309	0.2836	0.9535	0.0511	AT5G60450	ARF4 (AUXIN RESPONSE FACTOR 4); transcription factor
247644_s_at	0.0044	0.5884	0.6248	0.0388	0.7356	0.4482	0.1176	0.8479	0.2835	0.0258	0.6318	0.5757	AT1G07940;AT1G07930;AT5G60390;AT1G07920	[AT1G07940, elongation factor 1-alpha / EF-1-alpha];[AT1G07930, elongation factor 1-alpha / EF-1-alpha];[AT5G60390, elongation factor 1-alpha / EF-1-alpha];[AT1G07920, elongation factor 1-alpha / EF-1-alpha]
247645_at	-0.0185	0.348	0.4609	0.1278	0.6789	0.2035	0.0982	0.8104	0.3192	0.2739	0.967	0.0535	AT5G60530	late embryogenesis abundant protein-related / LEA protein-related
247646_at	0.3963	0.4825	0.0172	-0.5569	0.0026	0.9864	0.0813	0.5346	0.2462	-0.061	0.294	0.7075	AT5G59990	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G41380.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO21746.1); contains InterPro domain CCT (InterPro:IPR010402)
247647_at	-0.1163	0.2586	0.8787	-0.1355	0.1982	0.783	-0.0799	0.3265	0.8129	-0.132	0.1791	0.8735	AT5G60010	ferric reductase-like transmembrane component family protein
247648_at	0.0494	0.2251	0.2299	-0.0033	0.5493	0.5594	0.1159	0.7911	0.2787	-0.0117	0.3413	0.501	AT5G60020	LAC17 (laccase 17); copper ion binding / oxidoreductase
247649_at	-0.0463	0.3059	0.6407	-0.1148	0.2461	0.7851	-0.1209	0.2234	0.8708	-0.1661	0.0966	0.7525	AT5G60030	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G75335.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN66187.1)
247650_at	0.2602	0.9672	0.0729	-0.0338	0.4713	0.6314	-0.1105	0.2441	0.8627	0.0171	0.6043	0.6009	AT5G59960	similar to unnamed protein product [Vitis vinifera] (GB:CAO21698.1)
247651_at	-0.1604	0.1689	0.9217	-0.0873	0.362	0.8125	-0.1196	0.2205	0.8587	-0.0864	0.2829	0.8531	AT5G59870	HTA6; DNA binding
247652_at	-0.0185	0.5249	0.6817	0.0721	0.748	0.3338	-0.0213	0.4852	0.648	0.0045	0.5366	0.6154	AT5G59910	HTB4; DNA binding
247653_at	0.1416	0.882	0.2452	0.0255	0.7002	0.4827	0.175	0.9142	0.1589	0.1075	0.8417	0.3195	AT5G59950	RNA and export factor-binding protein, putative
247654_at	-0.0111	0.5452	0.6588	0.0388	0.7392	0.4604	0.0615	0.6748	0.4114	0.038	0.671	0.5406	AT5G59850	40S ribosomal protein S15A (RPS15aF)
247655_at	0.0829	0.5351	0.2029	0.1216	0.8665	0.2274	0.0806	0.5556	0.2907	-0.1225	0.173	0.757	AT5G59820	RHL41 (RESPONSIVE TO HIGH LIGHT 41); nucleic acid binding / transcription factor/ zinc ion binding
247656_at	0.2533	0.9642	0.0859	-0.3104	0.0296	0.9829	0.0744	0.7808	0.4054	0.0878	0.7876	0.3656	AT5G59890	ADF4 (ACTIN DEPOLYMERIZING FACTOR 4); actin binding
247657_at	-0.18	0.1105	0.88	-0.0563	0.3749	0.6256	0.013	0.4636	0.4564	0.2381	0.9269	0.0815	AT5G59845	gibberellin-regulated family protein
247658_at	0.1134	0.789	0.3149	-0.0553	0.4508	0.7295	0.0132	0.5678	0.5301	0.1013	0.8301	0.3381	AT5G59880	ADF3 (ACTIN DEPOLYMERIZING FACTOR 3); actin binding
247659_at	-0.0225	0.4771	0.6728	0.1099	0.8329	0.218	0.0452	0.6937	0.4794	-0.0192	0.4744	0.7028	AT5G60040	NRPC1 (nuclear RNA polymerase C 1); DNA binding / DNA-directed RNA polymerase
247660_at	-0.01	0.5229	0.6545	-0.0198	0.4368	0.5344	0.2134	0.9351	0.1152	0.0223	0.5915	0.5673	AT5G60070	ankyrin repeat family protein
247661_at	0.0348	0.5168	0.4666	-0.2418	0.0697	0.972	0.0445	0.6386	0.4556	0.0477	0.6209	0.4382	AT5G60080	protein kinase family protein
247662_at	-0.2437	0.0654	0.9532	-0.0782	0.3754	0.7552	-0.2818	0.0328	0.9866	-0.0293	0.3662	0.6253	AT5G60090	protein kinase family protein
247663_at	0.1156	0.7692	0.2656	0.1498	0.9177	0.1754	0.0058	0.5828	0.6071	-0.0292	0.2805	0.4745	AT5G60110	APUM18 (ARABIDOPSIS PUMILIO 18); RNA binding
247664_at	0.0344	0.6585	0.5283	-0.1481	0.1742	0.7845	-0.1303	0.2	0.8858	-0.2624	0.046	0.9631	AT5G60120	TOE2 (TARGET OF EAT1 2); DNA binding / transcription factor
247665_at	-0.1936	0.1208	0.938	-0.0611	0.4085	0.7352	-0.0308	0.323	0.5429	0.0356	0.5505	0.4646	AT5G60130	transcriptional factor B3 family protein
247666_at	0.0418	0.5796	0.4262	-0.1075	0.2986	0.8483	0.0472	0.6989	0.4687	-0.0363	0.4005	0.7119	AT5G60140	transcriptional factor B3 family protein
247667_at	0.0203	0.6158	0.5303	0.0045	0.6428	0.5534	0.1191	0.8457	0.2708	0.0869	0.6428	0.3005	AT5G60150	similar to unnamed protein product [Vitis vinifera] (GB:CAO21780.1)
247668_at	0.1768	0.6595	0.0801	0.2726	0.897	0.0489	0.2564	0.9518	0.0729	0.1445	0.7777	0.1962	AT5G60100	APRR3 (PSEUDO-RESPONSE REGULATOR 3); transcription regulator
247669_at	-0.0324	0.444	0.7097	0.0145	0.6453	0.5387	0.0203	0.5757	0.4979	-0.0411	0.4044	0.7505	AT5G60170	RNA binding
247670_at	-0.0053	0.5315	0.6106	-0.1701	0.1624	0.9288	-0.2252	0.0699	0.9735	-0.0044	0.4736	0.6043	AT5G60190	Ulp1 protease family protein
247671_at	0.1272	0.8259	0.2326	0.1819	0.8851	0.1102	0.1	0.822	0.3226	0.1239	0.8546	0.2681	AT5G60210	cytoplasmic linker protein-related
247672_at	-0.1127	0.2659	0.8693	-0.1567	0.159	0.8587	0.2706	0.9707	0.061	0.1182	0.7485	0.24	AT5G60220	TET4 (TETRASPANIN4)
247673_at	0.0525	0.6481	0.4099	-0.0749	0.385	0.7753	0.3963	0.9948	0.0135	0.0782	0.7149	0.362	AT5G60230	SEN2 (SPLICING ENDONUCLEASE 2); tRNA-intron endonuclease
247674_at	-0.0496	0.3619	0.5976	0.0517	0.7256	0.4111	-0.2617	0.0436	0.9732	-0.0782	0.2478	0.7318	AT5G59930	DC1 domain-containing protein / UV-B light-insensitive protein, putative
247675_at	-0.1414	0.1342	0.6416	-0.0522	0.385	0.6696	0.156	0.8789	0.2023	-0.0866	0.2822	0.8451	AT5G59940	DC1 domain-containing protein / UV-B light-insensitive protein, putative
247676_at	0.0225	0.5331	0.5278	0.29	0.9731	0.0357	-0.228	0.0676	0.9673	0.1852	0.9277	0.1455	no_match	no_match
247677_at	0.1766	0.9124	0.1863	-0.0947	0.3377	0.8134	-0.0307	0.4828	0.7075	-0.0063	0.5294	0.6795	AT5G59420	oxysterol-binding family protein
247678_at	-0.029	0.4315	0.5839	-0.0141	0.5069	0.5843	0.2696	0.9779	0.06	-0.0016	0.4065	0.494	AT5G59520	ZIP2 (ZINC TRANSPORTER 2 PRECURSOR); transferase, transferring glycosyl groups / zinc ion transmembrane transporter
